city_name,state,is_saturated,difference
Banner Elk,North Carolina,true,-1659
Baraboo,Wisconsin,true,-1154
Bardstown,Kentucky,true,-13
Bar Harbor,Maine,true,-942
Baring,Washington,true,-1203
Barnardsville,North Carolina,true,-1109
Barnstable,Massachusetts,true,-1499
Barnstead,New Hampshire,true,-1800
Barre,Vermont,true,-199
Barrett Township,Pennsylvania,true,-809
Barryville,New York,true,-812
Bartlesville,Oklahoma,true,-211
Bartlett,New Hampshire,true,-799
Basalt,Colorado,true,-1417
Bass Lake,California,true,-503
Bastrop,Texas,true,-459
Basye,Virginia,true,-469
Batesville,Arkansas,true,-419
Bath,Maine,true,-1100
Baton Rouge,Louisiana,true,-535
Battle Creek,Michigan,false,22
Battle Ground,Washington,true,-533
Baxter,Tennessee,true,-1797
Bay City,Michigan,true,-435
Bay City,Oregon,true,-1383
Bay City,Texas,true,-560
Bayfield,Colorado,true,-565
Bayfield,Wisconsin,true,-1358
Bay Harbor Islands,Florida,true,-4860
Bayonne,New Jersey,true,-725
Bay Saint Louis,Mississippi,true,-606
Bay Shore,New York,false,938
Baytown,Texas,true,-570
Bayview,Idaho,true,-1064
Baywood-los Osos,California,true,-468
Beach Haven,New Jersey,true,-2164
Beacon,New York,true,-518
Bean Station,Tennessee,true,-993
Bearsville,New York,true,-2422
Bear Valley,California,true,-967
Beattyville,Kentucky,true,-364
Beaufort,North Carolina,true,-644
Beaufort,South Carolina,true,-518
Beaumont,Texas,true,-233
Beaver,Utah,true,-546
Beaver Creek,Colorado,false,7658
Beaverton,Oregon,true,-455
Becket,Massachusetts,true,-1676
Beckley,West Virginia,true,-435
Bedford,Pennsylvania,true,-987
Bedford,Texas,true,-598
Bedford,Virginia,true,-361
Beech Mountain,North Carolina,true,-781
Belfair,Washington,true,-2300
Belfast,Maine,true,-1093
Belgrade,Maine,true,-424
Belgrade,Montana,true,-836
Belhaven,North Carolina,true,-238
Bellaire,Michigan,true,-1248
Bella Vista,Arkansas,true,-524
Belleair Beach,Florida,false,1398
Bellefonte,Pennsylvania,false,28
Belleville,Illinois,true,-762
Belleville,New Jersey,true,-748
Bellevue,Iowa,true,-579
Bellevue,Kentucky,true,-252
Bellevue,Nebraska,true,-229
Bellevue,Washington,true,-1248
